こめ ［うるち米製品］ 米粉 ,374,6.0,0.7,81.9,0.6,1,45,6,11,0.1,1.5,0,0.03,0.01,0.04,0,9,0,0
こめ ［うるち米製品］ 米粉パン ,255,3.4,3.1,51.3,0.9,340,92,4,11,0.2,0.9,0,0.05,0.03,0.04,0,30,0,0.9
こめ ［うるち米製品］ 米粉めん ,265,3.6,0.7,58.4,0.9,48,43,5,11,0.1,1.1,0,0.03,0,0.05,0,4,0,0.1
こめ ［うるち米製品］ ビーフン ,377,7.0,1.6,79.9,0.9,2,33,14,13,0.7,0.6,0,0.06,0.02,0,0,4,0,0
こめ ［うるち米製品］ 米こうじ ,286,5.8,1.7,59.2,1.4,3,61,5,16,0.3,0.9,0,0.11,0.13,0.11,0,71,0,0
こめ ［もち米製品］ もち ,234,4.0,0.6,50.8,0.5,0,32,3,6,0.1,0.9,0,0.03,0.01,0.03,0,4,0,0
こめ ［もち米製品］ 赤飯 ,190,4.3,0.6,41.9,1.6,0,71,6,11,0.4,0.9,1,0.05,0.01,0.03,0,9,0,0
こめ ［もち米製品］ あくまき ,132,2.3,1.8,25.7,0.2,16,300,6,6,0.1,0.7,0,0,0,0.01,0,1,0,0
こめ ［もち米製品］ 白玉粉 ,369,6.3,1.0,80.0,0.5,2,3,5,6,1.1,1.2,0,0.03,0.01,0.01,0,14,0,0
こめ ［もち米製品］ 道明寺粉 ,372,7.1,0.7,80.4,0.7,4,45,6,9,0.4,1.5,0,0.04,0.01,0.04,0,6,0,0
こめ ［その他］ 米ぬか ,412,13.4,19.6,48.8,20.5,7,1500,35,850,7.6,5.9,0,3.12,0.21,3.27,0,180,0,0
そば そば粉 全層粉 ,361,12.0,3.1,69.6,4.3,2,410,17,190,2.8,2.4,0,0.46,0.11,0.30,0,51,0,0
そば そば粉 内層粉 ,359,6.0,1.6,77.6,1.8,1,190,10,83,1.7,0.9,0,0.16,0.07,0.20,0,30,0,0
そば そば粉 中層粉 ,360,10.2,2.7,71.6,4.4,2,470,19,220,3.0,2.2,0,0.35,0.10,0.44,0,44,0,0
そば そば粉 表層粉 ,358,15.0,3.6,65.1,7.1,2,750,32,340,4.2,4.6,0,0.50,0.14,0.76,0,84,0,0
そば そば米 ,364,9.6,2.5,73.7,3.7,1,390,12,150,1.6,1.4,0,0.42,0.10,0.35,0,23,0,0
そば そば 生 ,274,9.8,1.9,54.5,2.7,1,160,18,65,1.4,1.0,0,0.19,0.09,0.15,0,19,0,0
そば そば ゆで ,132,4.8,1.0,26.0,2.0,2,34,9,27,0.8,0.4,0,0.05,0.02,0.04,0,8,0,0
そば 干しそば 乾 ,344,14.0,2.3,66.7,3.7,850,260,24,100,2.6,1.5,0,0.37,0.08,0.24,0,25,0,2.2
そば 干しそば ゆで ,114,4.8,0.7,22.1,1.5,50,13,12,33,0.9,0.4,0,0.08,0.02,0.05,0,5,0,0.1
とうもろこし 玄穀 黄色種 ,350,8.6,5.0,70.6,9.0,3,290,5,75,1.9,1.7,0,0.30,0.10,0.39,0,28,0,0
とうもろこし 玄穀 白色種 ,350,8.6,5.0,70.6,9.0,3,290,5,75,1.9,1.7,0,0.30,0.10,0.39,0,28,0,0
とうもろこし コーンミール 黄色種 ,363,8.3,4.0,72.4,8.0,2,220,5,99,1.5,1.4,0,0.15,0.08,0.43,0,28,0,0
とうもろこし コーンミール 白色種 ,363,8.3,4.0,72.4,8.0,2,220,5,99,1.5,1.4,0,0.15,0.08,0.43,0,28,0,0
とうもろこし コーングリッツ 黄色種 ,355,8.2,1.0,76.4,2.4,1,160,2,21,0.3,0.4,0,0.06,0.05,0.11,0,8,0,0
とうもろこし コーングリッツ 白色種 ,355,8.2,1.0,76.4,2.4,1,160,2,21,0.3,0.4,0,0.06,0.05,0.11,0,8,0,0
とうもろこし コーンフラワー 黄色種 ,363,6.6,2.8,76.1,1.7,1,200,3,31,0.6,0.6,0,0.14,0.06,0.20,0,9,0,0
とうもろこし コーンフラワー 白色種 ,363,6.6,2.8,76.1,1.7,1,200,3,31,0.6,0.6,0,0.14,0.06,0.20,0,9,0,0
とうもろこし ジャイアントコーン フライ 味付け ,435,5.7,11.8,76.6,10.5,430,110,8,88,1.3,1.6,1,0.08,0.02,0.11,0,12,0,1.1
とうもろこし ポップコーン ,484,10.2,22.8,59.6,9.3,570,300,7,95,4.3,2.4,0,0.13,0.08,0.27,0,22,0,1.4
とうもろこし コーンフレーク ,381,7.8,1.7,83.6,2.4,830,95,1,14,0.9,0.2,0,0.03,0.02,0.04,0,6,0,2.1
はとむぎ 精白粒 ,360,13.3,1.3,72.2,0.6,1,85,6,12,0.4,0.4,0,0.02,0.05,0.07,0,16,0,0
ひえ 精白粒 ,366,9.4,3.3,73.2,4.3,6,240,7,58,1.6,2.2,0,0.25,0.02,0.17,0,14,0,0
もろこし 玄穀 ,352,10.3,4.7,71.1,9.7,2,590,16,160,3.3,2.7,0,0.35,0.10,0.31,0,54,0,0
もろこし 精白粒 ,364,9.5,2.6,74.1,4.4,2,410,14,110,2.4,1.3,0,0.10,0.03,0.24,0,29,0,0
ライむぎ 全粒粉 ,334,12.7,2.7,70.7,13.3,1,400,31,100,3.5,3.5,0,0.47,0.20,0.22,0,65,0,0
ライむぎ ライ麦粉 ,351,8.5,1.6,75.8,12.9,1,140,25,30,1.5,0.7,0,0.15,0.07,0.10,0,34,0,0
穀類混合品 五穀 ,357,12.6,2.8,70.2,5.1,1,430,30,94,2.0,2.0,8,0.34,0.07,0.24,0,73,0,0
＜いも類＞きくいも 塊茎 生 ,35,1.9,0.4,14.7,1.9,1,610,14,16,0.3,0.3,0,0.08,0.04,0.09,0,20,10,0
＜いも類＞きくいも 塊茎 水煮 ,28,1.6,0.5,11.3,2.1,1,470,13,13,0.3,0.3,0,0.06,0.03,0.06,0,19,6,0
＜いも類＞こんにゃく 精粉 ,177,3.0,0.1,85.3,79.9,18,3000,57,70,2.1,2.2,0,0,0,1.20,0,65,0,0
＜いも類＞こんにゃく 板こんにゃく 精粉こんにゃく ,5,0.1,0,2.3,2.2,10,33,43,2,0.4,0.1,0,0,0,0.02,0,1,0,0
＜いも類＞こんにゃく 板こんにゃく 生いもこんにゃく ,7,0.1,0.1,3.3,3.0,2,44,68,5,0.6,0.2,0,0,0,0.02,0,2,0,0
＜いも類＞こんにゃく 赤こんにゃく ,5,0.1,0,2.5,2.3,11,48,46,3,78.5,0.1,0,0,0,0.02,0,1,0,0
＜いも類＞こんにゃく 凍みこんにゃく 乾 ,167,3.3,1.4,77.1,71.3,52,950,1600,110,12.2,4.4,0,0,0,0.48,0,61,0,0.1
＜いも類＞こんにゃく 凍みこんにゃく ゆで ,36,0.7,0.3,16.8,15.5,11,210,340,23,2.7,1.0,0,0,0,0.10,0,13,0,0
＜いも類＞こんにゃく しらたき ,6,0.2,0,3.0,2.9,10,12,75,4,0.5,0.1,0,0,0,0.01,0,0,0,0
＜いも類＞（さつまいも類）さつまいも 塊根 皮むき 生 ,134,1.2,0.2,31.9,2.2,11,480,36,24,0.6,0.2,0,0.11,0.04,0.26,0,49,29,0
＜いも類＞（さつまいも類）さつまいも 塊根 皮むき 蒸し ,134,1.2,0.2,31.9,2.3,11,480,36,24,0.6,0.2,0,0.11,0.04,0.27,0,50,29,0
＜いも類＞（さつまいも類）さつまいも 塊根 皮むき 焼き ,163,1.4,0.2,39.0,3.5,13,540,34,23,0.7,0.2,0,0.12,0.06,0.33,0,47,23,0
＜いも類＞（さつまいも類）さつまいも 塊根 皮つき 生 ,140,0.9,0.5,33.1,2.8,23,380,40,24,0.5,0.2,0,0.10,0.02,0.20,0,49,25,0.1
＜いも類＞（さつまいも類）さつまいも 塊根 皮つき 蒸し ,140,0.9,0.2,33.7,3.8,22,390,40,23,0.5,0.2,0,0.10,0.02,0.20,0,54,20,0.1
＜いも類＞（さつまいも類）さつまいも 塊根 皮つき 天ぷら ,221,1.4,6.8,38.4,3.1,36,380,51,25,0.5,0.2,11,0.11,0.04,0.20,0,57,21,0.1
